id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2023-09-06T18:53:52Z,TypeScript,0,20490,17035,16839,3178,0.4761111111111111,0.9884942764895803
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2023-09-06T18:46:36Z,,0,5680,959,926,3617,0.5972222222222222,0.9655891553701773
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,2023-09-06T19:18:02Z,,0,624,331,306,3344,0.07333333333333333,0.9244712990936556
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,2023-09-06T17:37:37Z,,0,1063,0,0,1625,1.7469444444444444,0.0
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,2023-09-06T19:12:51Z,,0,372,402,358,2648,0.1597222222222222,0.8905472636815921
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,2023-09-06T18:46:45Z,Python,0,1871,497,495,2725,0.5947222222222223,0.9959758551307847
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2023-09-06T18:56:13Z,TypeScript,1,1629,1395,881,2366,0.43694444444444447,0.6315412186379928
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,2023-09-06T19:02:48Z,Python,0,196,259,75,2383,0.32722222222222225,0.28957528957528955
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2023-09-06T19:17:31Z,,0,121,560,395,1946,0.08194444444444444,0.7053571428571429
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,2023-09-06T19:03:02Z,JavaScript,99,9213,12428,11339,3757,0.3233333333333333,0.9123752816221435
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,2023-09-06T19:03:24Z,TypeScript,245,1119,9992,9611,3691,0.31722222222222224,0.9618694955964772
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,2023-09-06T19:13:49Z,Python,0,535,0,0,3357,0.1436111111111111,0.0
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,2023-09-06T18:49:42Z,C++,195,16193,37862,35971,2860,0.5455555555555556,0.9500554645819027
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2023-09-06T19:04:59Z,JavaScript,0,282,330,210,1992,0.29083333333333333,0.6363636363636364
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2023-09-06T19:13:17Z,,0,360,913,833,3581,0.1525,0.9123767798466593
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,2023-09-06T19:15:14Z,Python,0,2337,1297,1271,2608,0.12,0.9799537393986122
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,2023-09-06T18:49:08Z,,0,375,567,441,2031,0.555,0.7777777777777778
