id,nameWithOwner,pullRequests
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,34310
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,9602
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,1959
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,918
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,1964
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,3048
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,2611
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,498
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,344
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,14030
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,2459
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,1843
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,23479
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,699
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,882
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,9025
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,608
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,14880
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh/ohmyzsh,7000
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,761
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,48348
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted/awesome-selfhosted,3034
MDEwOlJlcG9zaXRvcnkxMDYyODk3,github/gitignore,4277
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,microsoft/vscode,24997
R_kgDOJKSTjA,Significant-Gravitas/AutoGPT,2830
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,ossu/computer-science,405
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,jackfrued/Python-100-Days,326
MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,jlevy/the-art-of-command-line,576
MDEwOlJlcG9zaXRvcnk2NDk4NDky,airbnb/javascript,1485
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,1181
MDEwOlJlcG9zaXRvcnkxMDM5NTIw,ytdl-org/youtube-dl,4876
